,全国一般公共预算收入,中央一般公共预算收入,地方一般公共预算本级收入,税收收入,非税收入,国内增值税,国内消费税,企业所得税,个人所得税,进口货物增值税消费税,关税,出口退税,城市维护建设税,车辆购置税,印花税,资源税,契税,房产税,城镇土地使用税,土地增值税,耕地占用税,环境保护税,其他各项税收收入,全国一般公共预算支出,中央一般公共预算本级支出,地方一般公共预算支出,教育支出,科学技术支出,文化旅游体育与传媒支出,社会保障和就业支出,卫生健康支出,节能环保支出,城乡社区支出,农林水支出,交通运输支出,债务付息支出,全国政府性基金预算收入,中央政府性基金预算收入,方政府性基金预算本级收入,国有土地使用权出让收入,全国政府性基金预算支出,中央政府性基金预算本级支出,地方政府性基金预算支出,国有土地使用权出让收入相关支出
2025-12-01,216045.0,93963.0,122082.0,176363.0,39682.0,68947.0,16857.0,41304.0,16187.0,18263.0,2369.0,-21337.0,5170.0,1972.0,4270.0,2950.0,4440.0,5212.0,2551.0,4102.0,1421.0,287.0,1398.0,287395.0,43034.0,244361.0,43417.0,12062.0,3946.0,44416.0,21446.0,5816.0,20664.0,23495.0,11977.0,13491.0,57704.0,5056.0,52648.0,41518.0,112874.0,10984.0,101890.0,47120.0
2025-11-01,200516.0,88464.0,112052.0,164814.0,35702.0,63629.0,15639.0,40234.0,14689.0,16520.0,2149.0,-19038.0,4753.0,1814.0,4044.0,2717.0,3968.0,4714.0,2340.0,3782.0,1308.0,274.0,1278.0,248538.0,38232.0,210306.0,37856.0,8892.0,3177.0,40721.0,18687.0,4720.0,16790.0,19449.0,10177.0,12189.0,40274.0,3938.0,36336.0,29119.0,92124.0,9078.0,83046.0,38489.0
2025-10-01,186490.0,81856.0,104634.0,153364.0,33126.0,58858.0,14390.0,39182.0,13363.0,15007.0,1954.0,-18121.0,4377.0,1676.0,3781.0,2501.0,3646.0,4373.0,2167.0,3584.0,1207.0,262.0,1157.0,225825.0,34727.0,191098.0,34117.0,7847.0,2878.0,37742.0,16877.0,4235.0,15253.0,17627.0,9199.0,10952.0,34473.0,3618.0,30855.0,24982.0,80892.0,8564.0,72328.0,33752.0
2025-09-01,163876.0,70837.0,93039.0,132664.0,31212.0,52271.0,12934.0,32527.0,11799.0,13465.0,1750.0,-17018.0,3861.0,1517.0,3142.0,2156.0,3372.0,3478.0,1812.0,3296.0,1128.0,208.0,966.0,208064.0,31008.0,177056.0,31599.0,7105.0,2652.0,34928.0,15712.0,3928.0,14218.0,16082.0,8470.0,9819.0,30717.0,3276.0,27441.0,22302.0,74924.0,8090.0,66834.0,31383.0
2025-08-01,148198.0,64268.0,83930.0,121085.0,27113.0,47389.0,11523.0,31477.0,10547.0,11770.0,1527.0,-15766.0,3471.0,1334.0,2844.0,1943.0,3012.0,3307.0,1704.0,2967.0,1001.0,197.0,838.0,179324.0,26570.0,152754.0,27078.0,5874.0,2272.0,30723.0,13717.0,3315.0,12319.0,13589.0,7128.0,8715.0,26449.0,2933.0,23516.0,19263.0,62602.0,7609.0,54993.0,26732.0
2025-07-01,135839.0,58538.0,77301.0,110933.0,24906.0,42551.0,10213.0,30566.0,9279.0,10300.0,1316.0,-14065.0,3105.0,1183.0,2559.0,1747.0,2694.0,3201.0,1653.0,2786.0,918.0,190.0,737.0,160737.0,23327.0,137410.0,24438.0,5330.0,2012.0,27621.0,12402.0,2949.0,11185.0,12323.0,6340.0,7573.0,23124.0,2596.0,20528.0,16950.0,54287.0,7109.0,47178.0,23572.0
2025-06-01,115566.0,48589.0,66977.0,92915.0,22651.0,36393.0,8980.0,24910.0,7945.0,8729.0,1094.0,-12702.0,2629.0,1014.0,1953.0,1438.0,2368.0,2618.0,1372.0,2535.0,860.0,141.0,638.0,141271.0,19914.0,121357.0,21483.0,4790.0,1738.0,24504.0,11004.0,2556.0,10036.0,10626.0,5620.0,6689.0,19442.0,2173.0,17269.0,14271.0,46273.0,6308.0,39965.0,20601.0
2025-05-01,96623.0,41486.0,55137.0,79156.0,17467.0,30850.0,7729.0,21826.0,6572.0,7240.0,898.0,-10836.0,2248.0,837.0,1787.0,1224.0,1949.0,2315.0,1178.0,2031.0,643.0,127.0,538.0,112953.0,15792.0,97161.0,17455.0,3609.0,1382.0,20054.0,8896.0,2007.0,7923.0,7695.0,4448.0,5524.0,15483.0,1848.0,13635.0,11281.0,32125.0,993.0,31132.0,16113.0
2025-04-01,80616.0,33928.0,46688.0,65556.0,15060.0,26254.0,6502.0,17341.0,5376.0,5732.0,686.0,-9110.0,1891.0,677.0,1614.0,1028.0,1618.0,2026.0,1011.0,1804.0,550.0,120.0,436.0,93581.0,12282.0,81299.0,14481.0,2953.0,1110.0,16852.0,7462.0,1687.0,6743.0,6337.0,3812.0,4023.0,12586.0,1400.0,11186.0,9340.0,26136.0,769.0,25367.0,13647.0
2025-03-01,60189.0,24332.0,35857.0,47450.0,12739.0,20467.0,5222.0,10980.0,4540.0,4064.0,483.0,-7549.0,1418.0,506.0,1075.0,724.0,1272.0,1202.0,654.0,1498.0,491.0,70.0,333.0,72815.0,8717.0,64098.0,11249.0,2001.0,844.0,13570.0,5848.0,1302.0,5384.0,4882.0,3069.0,2856.0,9247.0,1086.0,8161.0,6849.0,19769.0,579.0,19190.0,10879.0
