Date,货币当局资产负债表,BalanceSheetOfMonetaryAuthority,报表项目Items,国外资产ForeignAssets,外汇ForeignExchange,货币黄金MonetaryGold,其他国外资产OtherForeignAssets,对政府债权ClaimsOnGovernment,其中：中央政府OfWhich:CentralGovernment,对其他存款性公司债权ClaimsOnOtherDepositoryCorporations,对其他金融性公司债权ClaimsOnOtherFinancialCorporations,对非金融性公司债权ClaimsOnNon-FinancialCorporations,其他资产OtherAssets,总资产TotalAssets,储备货币ReserveMoney,货币发行CurrencyIssue,金融性公司存款DepositOfFinancialCorporations,其他存款性公司OtherDepositoryCorporations,其他金融性公司OtherFinancialCorporations,非金融性公司存款DepositsOfNon-FinancialCorporations,活期存款DemandDeposits,发行债券BondIssue,国外负债ForeignLiabilities,政府存款DepositsOfGovernment,自有资金OwnCapital,其他负债OtherLiabilities,总负债TotalLiabilities,金融性公司存款DepositsOfFinancialCorporations,不计入储备货币的金融性公司存款DepositsOfFinancialCorporationsExcludedFromReserveMoney,注：自2008年起，本表增设报表项目“不计入储备货币的金融性公司存款”，删除原报表项目“非金融性公司存款”及其子项“活期存款”。,对非金融性部门债权ClaimsOnNon-FinancialSector,其他存款性公司存款DepositsOfOtherDepositoryCorporations,注：1.自2011年1月起，人民银行采用国际货币基金组织关于储备货币的定义，不再将其他金融性公司在货币当局的存款计入储备货币。,2.自2011年1月起，境外金融机构在人民银行存款数据计入国外负债项目，不再计入其他存款性公司存款。,项目Item,不计入储备货币的金融性公司存款DepositsOfFinancialCorporationsExcludedFromReserveMone,不计入储备货币的金融性公司存款DepositsOfFinancialCorporationsExcludedFromR,非金融机构存款DepositsOfNon-FinancialInstitutions,不计入储备货币的金融性公司存款DepositsOfFinancialCorporationsExcludedFromReserveM
2006-01-01,货币当局资产负债表,Balance Sheet of Monetary Authority,2006.01,66269.40,65062.06,337.24,870.10,2892.43,2892.43,9080.89,18394.35,66.73,11558.50,108262.30,67950.71,32751.23,35063.20,34942.63,120.57,136.28,136.28,20421.12,683.67,8556.98,219.75,10430.07,108262.30,,,,,,,,,,,,
2006-02-01,货币当局资产负债表,Balance Sheet of Monetary Authority,2006.02,67214.75,65999.54,337.24,877.97,2891.88,2891.88,7871.79,18403.55,66.73,11551.88,108000.58,63514.64,26593.45,36783.44,36649.13,134.31,137.75,137.75,23831.17,699.28,9000.20,219.75,10735.54,108000.58,,,,,,,,,,,,
2006-03-01,货币当局资产负债表,Balance Sheet of Monetary Authority,2006.03,68440.01,67230.32,337.24,872.45,2891.88,2891.88,7808.61,18942.83,66.67,11608.01,109758.01,62551.31,25501.60,36912.72,36802.62,110.10,136.99,136.99,27556.82,692.67,9684.13,219.75,9053.33,109758.01,,,,,,,,,,,,
2006-04-01,货币当局资产负债表,Balance Sheet of Monetary Authority,2006.04,69110.69,67896.47,337.24,876.98,2891.88,2891.88,7125.85,19564.69,66.67,11608.17,110367.95,61046.38,26165.81,34729.27,34621.52,107.75,151.30,151.30,27636.95,705.95,11780.44,219.75,8978.48,110367.95,,,,,,,,,,,,
2006-05-01,货币当局资产负债表,Balance Sheet of Monetary Authority,2006.05,70662.90,69430.23,337.24,895.43,2891.88,2891.88,6959.06,20206.84,66.67,11590.57,112377.92,61140.65,25358.14,35630.06,35514.74,115.32,152.45,152.45,27773.62,720.24,13031.85,219.75,9491.81,112377.92,,,,,,,,,,,,
2006-06-01,货币当局资产负债表,Balance Sheet of Monetary Authority,2006.06,73446.28,72216.34,337.24,892.70,2875.51,2875.51,6937.90,19097.34,66.44,13482.30,115905.77,63096.19,25452.68,37456.72,37327.87,128.85,186.79,186.79,28642.89,717.94,12047.22,219.75,11181.78,115905.77,,,,,,,,,,,,
2006-07-01,货币当局资产负债表,Balance Sheet of Monetary Authority,2006.07,75388.90,74160.90,337.24,890.76,2862.46,2862.46,6942.97,19017.26,66.44,11601.07,115879.10,62615.66,25692.05,36741.11,36605.43,135.68,182.50,182.50,29770.62,715.97,14064.80,219.75,8492.30,115879.10,,,,,,,,,,,,
2006-08-01,货币当局资产负债表,Balance Sheet of Monetary Authority,2006.08,76380.83,75151.09,337.24,892.50,2862.46,2862.46,6941.00,20118.51,66.44,11604.76,117974.00,64200.49,26173.72,37832.02,37679.23,152.79,194.75,194.75,29436.11,715.92,14471.94,219.75,8929.79,117974.00,,,,,,,,,,,,
2006-09-01,货币当局资产负债表,Balance Sheet of Monetary Authority,2006.09,78201.59,76975.05,337.24,889.30,2862.46,2862.46,6920.45,20080.73,66.44,11607.94,119739.61,66187.10,28008.42,37985.46,37856.63,128.83,193.22,193.22,30297.99,715.77,14226.94,219.75,8092.06,119739.61,,,,,,,,,,,,
2006-10-01,货币当局资产负债表,Balance Sheet of Monetary Authority,2006.10,79957.69,78559.22,337.24,1061.23,2862.46,2862.46,6682.86,20858.90,66.40,11461.54,121889.85,65232.44,27012.30,37965.57,37846.31,119.26,254.57,254.57,31054.89,899.84,16285.40,219.75,8197.53,121889.85,,,,,,,,,,,,
2006-11-01,货币当局资产负债表,Balance Sheet of Monetary Authority,2006.11,81796.61,80400.07,337.24,1059.30,2856.41,2856.41,6584.29,21538.49,66.40,11464.25,124306.45,68849.71,27542.26,41033.00,40884.30,148.70,274.45,274.45,30566.21,914.60,15781.09,219.75,7975.09,124306.45,,,,,,,,,,,,
2006-12-01,货币当局资产负债表,Balance Sheet of Monetary Authority,2006.12,85772.64,84360.81,337.24,1074.59,2856.41,2856.41,6516.71,21949.75,66.34,11412.84,128574.69,77757.83,29138.70,48459.26,48223.90,235.36,159.87,159.87,29740.58,926.33,10210.65,219.75,9719.55,128574.69,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-01,货币当局资产负债表,Balance Sheet of Monetary Authority,2007.01,89451.67,88044.93,337.24,1069.50,2856.41,2856.41,6484.92,21917.51,66.34,11730.92,132507.77,73380.48,30236.40,,42817.49,125.54,201.05,201.05,34337.95,926.20,12907.87,219.75,10735.52,132507.77,42943.03,,,,,,,,,,,
2007-02-01,货币当局资产负债表,Balance Sheet of Monetary Authority,2007.02,92808.54,91401.23,337.24,1070.07,2839.26,2839.26,6521.34,21930.85,66.34,11425.14,135591.47,80878.55,33977.29,,46489.14,130.00,282.12,282.12,31925.92,938.69,12722.11,219.75,8906.45,135591.47,46619.14,,,,,,,,,,,
2007-03-01,货币当局资产负债表,Balance Sheet of Monetary Authority,2007.03,95939.59,94546.42,337.24,1055.93,2839.26,2839.26,6526.55,21906.72,66.34,11829.84,139108.30,76990.09,29867.77,,46698.20,118.83,305.29,305.29,38475.16,924.11,13610.98,219.75,8888.21,139108.30,46817.03,,,,,,,,,,,
2007-04-01,货币当局资产负债表,Balance Sheet of Monetary Authority,2007.04,99059.46,97665.53,337.24,1056.69,2825.75,2825.75,6581.41,21918.68,63.73,11832.50,142281.53,76788.46,30055.85,,46328.42,129.43,274.76,274.76,39533.00,925.78,15990.09,219.75,8824.45,142281.53,46457.85,,,,,,,,,,,
