,国外资产,外汇,货币黄金,其他国外资产,对政府债权,其中中央政府,对其他存款性公司债权,对其他金融性公司债权,对非金融性公司债权,其他资产,总资产,储备货币,货币发行,金融性公司存款,其他存款性公司,其他金融性公司,非金融性公司存款,活期存款,发行债券,国外负债,政府存款,自有资金,其他负债,总负债,不计入储备货币的金融性公司存款,对非金融性部门债权,其他存款性公司存款,国外资产_外汇,国外资产_货币黄金,国外资产_其他国外资产,对政府债权_其中中央政府,储备货币_货币发行,储备货币_其他存款性公司存款,储备货币_其他存款性公司存款_非金融机构存款,储备货币_金融性公司存款,储备货币_金融性公司存款_其他存款性公司存款,储备货币_非金融机构存款
2006-01-01,66269.40,65062.06,337.24,870.10,2892.43,2892.43,9080.89,18394.35,66.73,11558.50,108262.30,67950.71,32751.23,35063.20,34942.63,120.57,136.28,136.28,20421.12,683.67,8556.98,219.75,10430.07,108262.30,,,,,,,,,,,,,
2006-02-01,67214.75,65999.54,337.24,877.97,2891.88,2891.88,7871.79,18403.55,66.73,11551.88,108000.58,63514.64,26593.45,36783.44,36649.13,134.31,137.75,137.75,23831.17,699.28,9000.20,219.75,10735.54,108000.58,,,,,,,,,,,,,
2006-03-01,68440.01,67230.32,337.24,872.45,2891.88,2891.88,7808.61,18942.83,66.67,11608.01,109758.01,62551.31,25501.60,36912.72,36802.62,110.10,136.99,136.99,27556.82,692.67,9684.13,219.75,9053.33,109758.01,,,,,,,,,,,,,
2006-04-01,69110.69,67896.47,337.24,876.98,2891.88,2891.88,7125.85,19564.69,66.67,11608.17,110367.95,61046.38,26165.81,34729.27,34621.52,107.75,151.30,151.30,27636.95,705.95,11780.44,219.75,8978.48,110367.95,,,,,,,,,,,,,
2006-05-01,70662.90,69430.23,337.24,895.43,2891.88,2891.88,6959.06,20206.84,66.67,11590.57,112377.92,61140.65,25358.14,35630.06,35514.74,115.32,152.45,152.45,27773.62,720.24,13031.85,219.75,9491.81,112377.92,,,,,,,,,,,,,
2006-06-01,73446.28,72216.34,337.24,892.70,2875.51,2875.51,6937.90,19097.34,66.44,13482.30,115905.77,63096.19,25452.68,37456.72,37327.87,128.85,186.79,186.79,28642.89,717.94,12047.22,219.75,11181.78,115905.77,,,,,,,,,,,,,
2006-07-01,75388.90,74160.90,337.24,890.76,2862.46,2862.46,6942.97,19017.26,66.44,11601.07,115879.10,62615.66,25692.05,36741.11,36605.43,135.68,182.50,182.50,29770.62,715.97,14064.80,219.75,8492.30,115879.10,,,,,,,,,,,,,
2006-08-01,76380.83,75151.09,337.24,892.50,2862.46,2862.46,6941.00,20118.51,66.44,11604.76,117974.00,64200.49,26173.72,37832.02,37679.23,152.79,194.75,194.75,29436.11,715.92,14471.94,219.75,8929.79,117974.00,,,,,,,,,,,,,
2006-09-01,78201.59,76975.05,337.24,889.30,2862.46,2862.46,6920.45,20080.73,66.44,11607.94,119739.61,66187.10,28008.42,37985.46,37856.63,128.83,193.22,193.22,30297.99,715.77,14226.94,219.75,8092.06,119739.61,,,,,,,,,,,,,
2006-10-01,79957.69,78559.22,337.24,1061.23,2862.46,2862.46,6682.86,20858.90,66.40,11461.54,121889.85,65232.44,27012.30,37965.57,37846.31,119.26,254.57,254.57,31054.89,899.84,16285.40,219.75,8197.53,121889.85,,,,,,,,,,,,,
2006-11-01,81796.61,80400.07,337.24,1059.30,2856.41,2856.41,6584.29,21538.49,66.40,11464.25,124306.45,68849.71,27542.26,41033.00,40884.30,148.70,274.45,274.45,30566.21,914.60,15781.09,219.75,7975.09,124306.45,,,,,,,,,,,,,
2006-12-01,85772.64,84360.81,337.24,1074.59,2856.41,2856.41,6516.71,21949.75,66.34,11412.84,128574.69,77757.83,29138.70,48459.26,48223.90,235.36,159.87,159.87,29740.58,926.33,10210.65,219.75,9719.55,128574.69,,,,,,,,,,,,,
2007-01-01,89451.67,88044.93,337.24,1069.50,2856.41,2856.41,6484.92,21917.51,66.34,11730.92,132507.77,73380.48,30236.40,42943.03,42817.49,125.54,201.05,201.05,34337.95,926.20,12907.87,219.75,10735.52,132507.77,,,,,,,,,,,,,
2007-02-01,92808.54,91401.23,337.24,1070.07,2839.26,2839.26,6521.34,21930.85,66.34,11425.14,135591.47,80878.55,33977.29,46619.14,46489.14,130.00,282.12,282.12,31925.92,938.69,12722.11,219.75,8906.45,135591.47,,,,,,,,,,,,,
2007-03-01,95939.59,94546.42,337.24,1055.93,2839.26,2839.26,6526.55,21906.72,66.34,11829.84,139108.30,76990.09,29867.77,46817.03,46698.20,118.83,305.29,305.29,38475.16,924.11,13610.98,219.75,8888.21,139108.30,,,,,,,,,,,,,
2007-04-01,99059.46,97665.53,337.24,1056.69,2825.75,2825.75,6581.41,21918.68,63.73,11832.50,142281.53,76788.46,30055.85,46457.85,46328.42,129.43,274.76,274.76,39533.00,925.78,15990.09,219.75,8824.45,142281.53,,,,,,,,,,,,,
2007-05-01,102152.42,100750.30,337.24,1064.88,2825.75,2825.75,6624.61,21913.49,63.68,11825.11,145405.06,77858.11,28969.19,48632.04,48442.53,189.51,256.88,256.88,39438.86,938.42,18107.96,219.75,8841.96,145405.06,,,,,,,,,,,,,
2007-06-01,104870.78,103482.71,337.24,1050.83,2825.75,2825.75,6633.14,21861.22,63.68,11850.80,148105.37,82663.98,29240.16,53147.04,52984.32,162.72,276.78,276.78,37581.81,925.18,18360.79,219.75,8353.86,148105.37,,,,,,,,,,,,,
2007-07-01,108674.82,107285.27,337.24,1052.31,2825.75,2825.75,6627.71,21847.31,63.68,11841.72,151880.99,83264.14,29508.80,53509.09,53342.36,166.73,246.25,246.25,38268.26,925.04,20566.49,219.75,8637.31,151880.99,,,,,,,,,,,,,
2007-08-01,111215.90,108793.39,337.24,2085.27,8819.66,8819.66,6611.83,16056.81,63.68,11841.11,154608.99,83639.33,30153.82,53215.72,53045.25,170.47,269.79,269.79,40675.39,927.51,20392.34,219.75,8754.67,154608.99,,,,,,,,,,,,,
2007-09-01,115860.33,111776.31,337.24,3746.78,8825.32,8825.32,6612.39,16023.29,63.68,11975.88,159360.89,88212.33,31804.81,56133.42,55979.20,154.22,274.10,274.10,38945.73,931.68,20496.85,219.75,10554.55,159360.89,,,,,,,,,,,,,
2007-10-01,117752.33,111841.27,337.24,5573.82,8825.32,8825.32,6581.30,16005.70,63.68,11974.05,161202.38,88615.90,30692.10,57661.01,57477.91,183.10,262.79,262.79,37109.51,931.55,22727.45,219.75,11598.22,161202.38,,,,,,,,,,,,,
2007-11-01,122170.97,115031.21,337.24,6802.52,8825.32,8825.32,6310.42,15950.40,63.68,11979.20,165299.99,92433.16,31389.64,60775.81,60569.24,206.57,267.71,267.71,35667.62,933.08,23159.58,219.75,12886.80,165299.99,,,,,,,,,,,,,
2007-12-01,124825.18,115168.71,337.24,9319.23,16317.71,16317.71,7862.80,12972.34,63.59,7098.18,169139.80,101545.40,32971.58,68415.86,68094.84,321.02,157.96,157.96,34469.13,947.28,17121.10,219.75,14837.14,169139.80,,,,,,,,,,,,,
2008-01-01,130850.14,120743.12,337.24,9769.78,16317.71,16317.71,7075.11,12291.84,44.12,7883.95,174462.87,109477.69,40052.01,69425.68,69329.71,95.97,,,32306.69,946.86,20056.58,219.75,10929.22,174462.87,526.08,,,,,,,,,,,,
2008-02-01,133799.27,124427.70,337.24,9034.33,16317.71,16317.71,7698.33,12291.94,44.12,7910.52,178061.89,107042.77,35548.12,71494.65,71422.44,72.21,,,36877.58,946.58,20893.44,219.75,11588.17,178061.89,493.60,,,,,,,,,,,,
2008-03-01,137436.82,127126.09,337.24,9973.49,16317.71,16317.71,8037.30,12291.74,44.12,7920.10,182047.79,104224.18,33437.62,70786.56,70608.43,178.13,,,39530.84,948.55,21557.65,219.75,15074.53,182047.79,492.29,,,,,,,,,,,,
2008-04-01,142795.91,131217.94,337.24,11240.73,16317.71,16317.71,8049.58,12289.82,44.12,7944.52,187441.66,106467.04,33424.51,73042.53,72957.62,84.91,,,43018.07,925.58,24753.77,219.75,11560.71,187441.66,496.74,,,,,,,,,,,,
2008-05-01,146340.75,133518.98,337.24,12484.53,16317.71,16317.71,8078.35,12249.24,44.12,8018.29,191048.46,108619.45,32826.87,75792.58,75704.17,88.41,,,43920.33,904.16,27254.80,219.75,9613.33,191048.46,516.64,,,,,,,,,,,,
2008-06-01,149580.16,134249.44,337.24,14993.48,16279.77,16279.77,8097.51,12190.11,44.12,7913.27,194104.94,115353.05,33075.73,82277.32,82177.06,100.26,,,41801.74,904.88,27414.37,219.75,7882.37,194104.94,528.78,,,,,,,,,,,,
2008-07-01,152623.49,137690.05,337.24,14596.20,16279.77,16279.77,8433.95,12104.98,44.12,7986.61,197472.92,116446.80,33285.24,83161.56,83056.50,105.06,,,41717.56,892.35,29130.80,219.75,8508.80,197472.92,556.86,,,,,,,,,,,,
2008-08-01,154339.66,139521.46,337.24,14480.96,16279.77,16279.77,8554.10,12103.24,44.12,7943.98,199264.87,117589.81,33698.35,83891.46,83777.96,113.50,,,42278.96,892.33,28735.76,219.75,8976.27,199264.87,571.99,,,,,,,,,,,,
2008-09-01,157908.88,143122.88,337.24,14448.76,16233.94,16233.94,8544.44,12103.44,44.12,8089.58,202924.40,117336.06,34876.09,82459.97,82378.54,81.43,,,45911.46,892.28,27228.46,219.75,10751.43,202924.40,584.96,,,,,,,,,,,,
2008-10-01,159574.64,146602.17,337.24,12635.23,16233.94,16233.94,8477.19,12103.26,44.12,8019.45,204452.60,115715.30,34043.37,81671.93,81571.20,100.73,,,47429.35,894.36,29322.40,219.75,10293.20,204452.60,578.24,,,,,,,,,,,,
2008-11-01,159941.35,147032.37,337.24,12571.74,16233.94,16233.94,8442.71,12083.47,44.12,8054.98,204800.57,119332.71,34456.46,84876.25,84774.86,101.39,,,46527.10,733.27,27409.31,219.75,10000.40,204800.57,578.03,,,,,,,,,,,,
2008-12-01,162543.52,149624.26,337.24,12582.02,16195.99,16195.99,8432.50,11852.66,44.12,8027.20,207095.99,129222.33,37115.76,92106.57,91894.72,211.85,,,45779.83,732.59,16963.84,219.75,13586.45,207095.99,591.20,,,,,,,,,,,,
2010-01-01,188021.75,177869.14,669.84,9482.77,15661.97,15661.97,7129.50,11530.12,43.96,7827.41,230214.71,142819.58,44349.17,98470.41,98359.32,111.09,,,42380.80,746.70,25275.20,219.75,18130.91,230214.71,641.77,,,,,,,,,,,,
2010-02-01,189558.26,179412.38,669.84,9476.04,15625.89,15625.89,7186.46,11525.86,43.96,7823.51,231763.94,152629.41,48187.85,104441.56,104257.21,184.35,,,41403.32,746.70,22860.75,219.75,13262.19,231763.94,641.82,,,,,,,,,,,,
2010-03-01,192118.96,182310.84,669.84,9138.28,15625.89,15625.89,8618.22,11514.57,43.96,8169.07,236090.67,150032.84,42836.09,107196.75,107057.69,139.06,,,43442.31,746.69,23251.03,219.75,17748.46,236090.67,649.58,,,,,,,,,,,,
2010-04-01,195861.80,186058.10,669.84,9133.86,15621.19,15621.19,8715.65,11508.53,43.96,8169.40,239920.53,147027.84,43073.77,103954.07,103828.16,125.91,,,45610.23,741.53,26657.41,219.75,19010.63,239920.53,653.14,,,,,,,,,,,,
2010-05-01,196868.82,187177.63,669.84,9021.35,15621.19,15621.19,8822.75,11508.26,43.96,8431.01,241296.00,147128.24,42109.91,105018.33,104880.99,137.34,,,46058.44,719.23,30342.19,219.75,16204.56,241296.00,623.59,,,,,,,,,,,,
2010-06-01,198356.34,188703.99,669.84,8982.51,15621.19,15621.19,8966.50,11498.54,43.96,8445.52,242932.04,154234.48,42566.89,111667.58,111506.39,161.19,,,46975.16,719.10,31023.02,219.75,9148.14,242932.04,612.40,,,,,,,,,,,,
2010-07-01,200141.77,190500.79,669.84,8971.14,15621.19,15621.19,9025.71,11500.29,43.96,8436.93,244769.85,154338.06,42953.98,111384.09,111217.11,166.98,,,47491.02,701.42,33770.92,219.75,7617.23,244769.85,631.44,,,,,,,,,,,,
2010-08-01,202533.93,192833.34,669.84,9030.75,15583.11,15583.11,9090.85,11472.87,43.96,7398.73,246123.45,154473.80,43541.38,110932.43,110766.40,166.02,,,47179.63,716.10,34861.33,219.75,8036.39,246123.45,636.44,,,,,,,,,,,,
2010-09-01,204810.61,195222.49,669.84,8918.28,15551.85,15551.85,9136.40,11465.79,43.96,7675.26,248683.87,161320.34,46219.81,115100.53,114945.69,154.84,,,44005.15,715.70,32458.79,219.75,9324.50,248683.87,639.62,,,,,,,,,,,,
2010-10-01,210087.98,200640.26,669.84,8777.88,15551.85,15551.85,9120.95,11443.54,43.96,7440.32,253688.60,166138.28,45449.35,120688.93,120507.01,181.91,,,41671.81,701.69,34977.39,219.75,9318.36,253688.60,661.31,,,,,,,,,,,,
2010-11-01,212733.80,203774.39,669.84,8289.57,15421.11,15421.11,9318.35,11392.71,43.96,7543.82,256453.74,171774.25,46126.00,125648.25,125462.08,186.17,,,41887.14,718.37,33190.77,219.75,7994.10,256453.74,669.36,,,,,,,,,,,,
2010-12-01,215419.60,206766.71,669.84,7983.06,15421.11,15421.11,9485.70,11325.81,24.99,7597.67,259274.89,185311.08,48646.02,136665.06,136480.86,184.20,,,40497.23,720.08,24277.32,219.75,7592.23,259274.89,657.19,,,,,,,,,,,,
2011-01-01,219957.26,211301.39,669.84,7986.03,15421.11,15421.11,15912.63,11317.70,,6355.10,268988.79,194084.48,63789.40,,,,,,38503.12,3878.57,26459.78,219.75,4944.50,268988.79,898.59,24.99,130295.08,,,,,,,,,,
2011-02-01,222399.56,213753.16,669.84,7976.56,15421.11,15421.11,10478.06,11318.01,,6408.32,266050.05,191229.92,52493.60,,,,,,34903.59,4327.78,29133.15,219.75,5174.94,266050.05,1060.92,24.99,138736.32,,,,,,,,,,
2011-03-01,226277.48,217476.46,669.84,8131.18,15404.83,15404.83,9561.47,11318.75,,6230.52,268818.05,192565.38,49272.52,,,,,,31160.33,4579.94,27289.03,219.75,12025.18,268818.05,978.43,24.99,143292.86,,,,,,,,,,
2011-04-01,229301.15,220472.74,669.84,8158.57,15404.83,15404.83,9502.68,11314.14,,6217.22,271765.01,193309.49,49450.60,,,,,,29624.84,5286.84,31588.08,219.75,10835.91,271765.01,900.10,24.99,143858.90,,,,,,,,,,
2011-05-01,232020.69,223606.82,669.84,7744.03,15404.83,15404.83,9485.48,11255.51,,6420.62,274612.12,196186.05,48646.00,,,,,,29296.52,5284.49,34274.82,219.75,8572.34,274612.12,778.16,24.99,147540.05,,,,,,,,,,
2011-06-01,234697.86,226386.73,669.84,7641.29,15404.83,15404.83,9678.04,11253.94,,7018.94,278078.61,203469.88,48815.89,,,,,,27266.12,4866.43,34542.09,219.75,6911.74,278078.61,802.60,24.99,154653.99,,,,,,,,,,
2011-07-01,237238.34,229159.78,669.84,7408.72,15404.83,15404.83,9638.40,11248.83,,7158.05,280713.44,202490.07,49335.11,,,,,,26234.13,4894.74,37963.93,219.75,8104.81,280713.44,806.00,24.99,153154.95,,,,,,,,,,
2011-08-01,239197.84,231459.72,669.84,7068.29,15399.73,15399.73,9569.22,11248.90,,7202.29,282642.97,205141.33,49959.41,,,,,,24608.56,4995.26,38799.59,219.75,8109.47,282642.97,769.02,24.99,155181.91,,,,,,,,,,
2011-09-01,241200.76,233853.55,669.84,6677.37,15399.73,15399.73,9556.60,11244.81,,7485.33,284912.22,212204.15,52203.22,,,,,,22451.01,4671.93,35711.77,219.75,8793.05,284912.22,860.56,24.99,160000.93,,,,,,,,,,
2011-10-01,240107.32,232960.15,669.84,6477.33,15399.73,15399.73,12746.40,10753.98,,6697.90,285730.32,212819.83,51058.43,,,,,,21465.41,3996.47,38789.93,219.75,7574.31,285730.32,864.62,24.99,161761.41,,,,,,,,,,
2011-11-01,239554.13,232699.35,669.84,6184.94,15399.73,15399.73,10409.85,10749.15,,6739.36,282877.21,216624.49,51724.16,,,,,,21442.97,3252.57,34128.48,219.75,6334.44,282877.21,874.50,24.99,164900.34,,,,,,,,,,
2011-12-01,237898.06,232388.73,669.84,4839.49,15399.73,15399.73,10247.54,10643.97,,6763.31,280977.60,224641.76,55850.07,,,,,,23336.66,2699.44,22733.66,219.75,6437.97,280977.60,908.37,24.99,168791.68,,,,,,,,,,
2012-01-01,239596.43,234139.10,669.84,4787.49,15399.73,15399.73,22525.74,10711.39,,6765.76,295024.05,237391.70,67739.73,,,,,,23227.88,2669.84,25076.57,219.75,5510.29,295024.05,928.02,24.99,169651.98,,,,,,,,,,
2012-02-01,240146.21,234769.61,669.84,4706.76,15399.73,15399.73,10302.27,10636.56,,6766.73,283276.49,223343.11,56359.54,,,,,,23109.24,2454.88,26811.49,219.75,6386.59,283276.49,951.43,24.99,166983.56,,,,,,,,,,
2012-03-01,240694.62,235799.52,669.84,4225.27,15349.06,15349.06,10551.50,10635.08,,6767.13,284022.38,226684.28,54378.61,,,,,,21439.97,1846.58,23085.18,219.75,9639.68,284022.38,1106.94,24.99,172305.67,,,,,,,,,,
2012-04-01,239983.29,235173.97,669.84,4139.48,15349.06,15349.06,10793.07,10629.52,,6771.80,283551.73,224365.65,54735.91,,,,,,19668.53,1935.70,27360.66,219.75,8895.30,283551.73,1106.15,24.99,169629.74,,,,,,,,,,
2012-05-01,239912.16,235159.32,669.84,4082.99,15349.06,15349.06,11048.23,10630.07,,6790.24,283754.74,221952.79,53507.82,,,,,,18777.97,1961.14,29539.83,219.75,10149.71,283754.74,1153.54,24.99,168444.97,,,,,,,,,,
2012-06-01,239978.29,235189.82,669.84,4118.63,15349.06,15349.06,13303.72,10625.33,,6789.65,286071.05,228050.85,54294.32,,,,,,18690.90,1097.06,27550.26,219.75,9279.95,286071.05,1182.27,24.99,173756.53,,,,,,,,,,
2012-07-01,239981.89,235221.27,669.84,4090.77,15313.69,15313.69,11820.33,10625.94,,6813.43,284580.27,225528.76,54407.42,,,,,,17927.60,1036.16,30860.63,219.75,7767.55,284580.27,1239.82,24.99,171121.34,,,,,,,,,,
2012-08-01,240055.72,235276.63,669.84,4109.25,15313.69,15313.69,14336.45,10240.67,,6003.44,285974.95,228487.35,55069.10,,,,,,17811.73,1028.26,31177.96,219.75,5970.72,285974.95,1279.18,24.99,173418.25,,,,,,,,,,
2012-09-01,240190.51,235297.01,669.84,4223.66,15313.69,15313.69,17901.80,10233.95,,5992.82,289657.75,236032.58,59177.80,,,,,,17464.18,1241.52,28149.08,219.75,5253.58,289657.75,1297.06,24.99,176854.78,,,,,,,,,,
2012-10-01,240105.04,235307.85,669.84,4127.35,15313.69,15313.69,20443.37,10232.60,,6184.73,292304.42,234515.97,56421.35,,,,,,16798.06,1142.48,33145.25,219.75,5196.17,292304.42,1286.74,24.99,178094.61,,,,,,,,,,
2012-11-01,239963.43,235203.83,669.84,4089.76,15313.69,15313.69,16548.06,10229.10,,7798.13,289877.39,234898.20,57410.47,,,,,,15812.60,1149.60,31598.55,219.75,4864.85,289877.39,1333.84,24.99,177487.73,,,,,,,,,,
