date,M2,M1,M0
2006-01-01,303571.65,104357.08,23472.03
2006-02-01,304516.27,106737.08,24155.73
2006-03-01,310490.65,106389.11,23465.32
2006-04-01,313702.34,109219.22,23469.08
2006-05-01,316709.81,112342.36,23752.59
2006-06-01,322756.35,112653.04,24185.36
2006-07-01,324010.76,114845.67,25687.38
2006-08-01,327885.67,116814.1,24964.16
2006-09-01,331865.36,118359.96,25527.25
2006-10-01,332747.17,121644.95,27072.62
2007-01-01,351498.77,126258.08,27387.95
2007-02-01,358659.25,127881.31,27813.88
2007-03-01,364104.66,127678.33,26727.97
2007-04-01,367326.45,130275.8,26881.09
2007-05-01,369718.15,135847.4,27326.26
2007-06-01,377832.15,136237.43,27822.39
2007-07-01,383884.88,140993.21,29030.58
2007-08-01,387205.04,142591.57,28317.78
2007-09-01,393098.91,144649.33,28987.92
2007-10-01,394204.17,148009.82,30334.32
2008-01-01,417846.17,150177.88,30433.07
2008-02-01,421037.84,150867.47,30789.61
2008-03-01,423054.53,151694.91,30169.3
2008-04-01,429313.72,153344.75,30181.32
2008-05-01,436221.6,154820.15,30687.19
2008-06-01,443141.02,154992.44,30851.62
2008-07-01,446362.17,156889.92,31724.88
2008-08-01,448846.68,155748.97,31317.84
2008-09-01,452898.71,157194.36,31607.36
2008-10-01,453133.32,157826.63,34218.96
2009-01-01,496135.31,166149.6,33746.42
2009-02-01,506708.07,176541.13,34257.27
2009-03-01,530626.71,178213.57,33559.52
2009-04-01,540481.21,182025.58,33640.98
2009-05-01,548263.51,193138.15,34239.3
2009-06-01,568916.2,195889.27,34406.62
2009-07-01,573102.85,200394.83,36787.89
2009-08-01,576698.95,201708.14,35730.23
2009-09-01,585405.34,207545.74,36343.86
2009-10-01,586643.29,212493.2,38246.97
2010-01-01,625609.29,224286.95,39080.58
2010-02-01,636072.26,229397.93,39657.54
2010-03-01,649947.46,233909.76,38652.97
2010-04-01,656561.22,236497.88,38904.85
2010-05-01,663351.37,240580.0,39543.16
2010-06-01,673921.72,240664.07,39922.76
2010-07-01,674051.48,244340.64,41854.41
2010-08-01,687506.92,243821.9,41646.21
2010-09-01,696471.5,253313.17,42252.16
2010-10-01,699776.74,259420.32,44628.17
2011-01-01,733884.83,259200.5,44845.22
2011-02-01,736130.86,266255.48,45489.03
2011-03-01,758130.88,266766.91,44602.83
2011-04-01,757384.56,269289.63,44477.8
2011-05-01,763409.22,274662.57,45183.1
2011-06-01,780820.85,270545.65,45775.29
2011-07-01,772923.65,273393.77,47145.29
2011-08-01,780852.3,267193.16,46579.39
2011-09-01,787406.2,276552.67,47317.26
