A0100,A0101,A0102,A0103,A0104,A0105,A0106,A0107,A0108,A0109,A0110,A0200,A0201,A0202,A0203,A0204,A0205,A0206,A0207,A0208,A0209,A0210,A0300,A0301,A0302,A0303,A0304,A0305,A0306,A0307,A0308,A0309,A0310,A0400,A0401,A0402,A0403,A0404,A0405,A0406,A0407,A0408,A0409,A0410,A0500,A0501,A0502,A0503,A0504,A0505
,,,,,,,,,工业生产者出厂价格指数(上年同月=100),,,工业增加值_同比增长,国有控股企业增加值_同比增长,煤炭开采和洗选业增加值_同比增长,煤炭开采和洗选业增加值_同比增长,煤炭开采和洗选业增加值_同比增长,,,,,,,,,,,,,,,,,,固定资产投资额_累计增长,国有及国有控股固定资产投资额_累计增长,农、林、牧、渔业固定资产投资额_累计增长,固定资产投资额_累计增长,农林牧渔业民间固定资产投资_累计增长,固定资产投资本年资金来源小计_累计增长,农、林、牧、渔业固定资产投资额_累计增长,农林牧渔业固定资产投资额_累计增长,第一产业固定资产投资额_累计增长,,,服务业生产指数_当月同比增速,,,,
,,,,,,,,,煤炭开采和洗选业工业生产者出厂价格指数(上年同月=100),,,工业增加值_累计增长,国有控股企业增加值_累计增长,煤炭开采和洗选业增加值_累计增长,煤炭开采和洗选业增加值_累计增长,煤炭开采和洗选业增加值_累计增长,,,,,,,,,,,,,,,,,,民间固定资产投资_累计增长,新建固定资产投资额_累计增长,农业固定资产投资额_累计增长,内资固定资产投资额_累计增长,采矿业民间固定资产投资_累计增长,固定资产投资国家预算资金_累计增长,农业固定资产投资额_累计增长,林业固定资产投资额_累计增长,农林牧渔水利业固定资产投资额_累计增长,,,服务业生产指数_累计同比增速,,,,
,,,,,,,,,石油和天然气开采业工业生产者出厂价格指数(上年同月=100),,,,私营企业增加值_同比增长,石油和天然气开采业增加值_同比增长,石油和天然气开采业增加值_同比增长,石油和天然气开采业增加值_同比增长,,,,,,,,,,,,,,,,,,第一产业固定资产投资额_累计增长,扩建固定资产投资额_累计增长,林业固定资产投资额_累计增长,国有固定资产投资额_累计增长,煤炭开采和洗选业民间固定资产投资_累计增长,固定资产投资国内贷款_累计增长,林业固定资产投资额_累计增长,采矿业固定资产投资额_累计增长,第二产业固定资产投资额_累计增长,,,,,,,
,,,,,,,,,黑色金属矿采选业工业生产者出厂价格指数(上年同月=100),,,,私营企业增加值_累计增长,石油和天然气开采业增加值_累计增长,石油和天然气开采业增加值_累计增长,石油和天然气开采业增加值_累计增长,,,,,,,,,,,,,,,,,,第二产业固定资产投资额_累计增长,改建固定资产投资额_累计增长,畜牧业固定资产投资额_累计增长,集体固定资产投资额_累计增长,石油和天然气开采业民间固定资产投资_累计增长,固定资产投资债券_累计增长,畜牧业固定资产投资额_累计增长,煤炭开采及洗选业固定资产投资额_累计增长,工业固定资产投资额_累计增长,,,,,,,
,,,,,,,,,有色金属矿采选业工业生产者出厂价格指数(上年同月=100),,,,集体企业增加值_同比增长,黑色金属矿采选业增加值_同比增长,黑色金属矿采选业增加值_同比增长,黑色金属矿采选业增加值_同比增长,,,,,,,,,,,,,,,,,,第三产业固定资产投资额_累计增长,建筑安装工程固定资产投资额_累计增长,渔业固定资产投资额_累计增长,股份合作固定资产投资额_累计增长,黑色金属矿采选业民间固定资产投资_累计增长,固定资产投资利用外资_累计增长,渔业固定资产投资额_累计增长,石油和天然气开采业固定资产投资额_累计增长,能源工业固定资产投资额_累计增长,,,,,,,
,,,,,,,,,非金属矿采选业工业生产者出厂价格指数(上年同月=100),,,,集体企业增加值_累计增长,黑色金属矿采选业增加值_累计增长,黑色金属矿采选业增加值_累计增长,黑色金属矿采选业增加值_累计增长,,,,,,,,,,,,,,,,,,,设备工器具购置固定资产投资额_累计增长,农、林、牧、渔专业及辅助性活动固定资产投资额_累计增长,联营企业固定资产投资额_累计增长,有色金属矿采选业民间固定资产投资_累计增长,固定资产投资自筹资金_累计增长,农、林、牧、渔服务业固定资产投资额_累计增长,黑色金属矿采选业固定资产投资额_累计增长,煤炭固定资产投资额_累计增长,,,,,,,
,,,,,,,,,其他采矿业工业生产者出厂价格指数(上年同月=100),,,,股份合作企业增加值_同比增长,有色金属矿采选业增加值_同比增长,有色金属矿采选业增加值_同比增长,有色金属矿采选业增加值_同比增长,,,,,,,,,,,,,,,,,,,其他费用固定资产投资额_累计增长,采矿业固定资产投资额_累计增长,国有联营企业固定资产投资额_累计增长,非金属矿采选业民间固定资产投资_累计增长,固定资产投资其他资金_累计增长,采矿业固定资产投资额_累计增长,有色金属矿采选业固定资产投资额_累计增长,石油固定资产投资额_累计增长,,,,,,,
,,,,,,,,,农副食品加工业工业生产者出厂价格指数(上年同月=100),,,,股份合作企业增加值_累计增长,有色金属矿采选业增加值_累计增长,有色金属矿采选业增加值_累计增长,有色金属矿采选业增加值_累计增长,,,,,,,,,,,,,,,,,,,,煤炭开采和洗选业固定资产投资额_累计增长,集体联营企业固定资产投资额_累计增长,制造业民间固定资产投资_累计增长,,煤炭开采和洗选业固定资产投资额_累计增长,非金属矿采选业固定资产投资额_累计增长,电力固定资产投资额_累计增长,,,,,,,
,,,,,,,,,食品制造业工业生产者出厂价格指数(上年同月=100),,,,股份制企业增加值_同比增长,非金属矿采选业增加值_同比增长,非金属矿采选业增加值_同比增长,非金属矿采选业增加值_同比增长,,,,,,,,,,,,,,,,,,,,石油和天然气开采业固定资产投资额_累计增长,国有与集体联营企业固定资产投资额_累计增长,非金属矿物制品业民间固定资产投资_累计增长,,石油和天然气开采业固定资产投资额_累计增长,其他采矿业固定资产投资额_累计增长,原材料工业固定资产投资额_累计增长,,,,,,,
,,,,,,,,,饮料制造业工业生产者出厂价格指数(上年同月=100),,,,股份制企业增加值_累计增长,非金属矿采选业增加值_累计增长,非金属矿采选业增加值_累计增长,非金属矿采选业增加值_累计增长,,,,,,,,,,,,,,,,,,,,黑色金属矿采选业固定资产投资额_累计增长,其他联营企业固定资产投资额_累计增长,黑色金属冶炼和压延加工业民间固定资产投资_累计增长,,黑色金属矿采选业固定资产投资额_累计增长,制造业固定资产投资额_累计增长,冶金固定资产投资额_累计增长,,,,,,,
